Variable,Sample,Treated,Controls,Difference,S.E.,T-stat
Consumption level,Unmatched,62610.1141,61033.1805,1576.93354,5529.09059,0.29
,ATT,62610.1141,62039.3536,570.760456,5784.84944,0.1
