Variable,Sample,Treated,Controls,Difference,S.E.,T-stat
totaledu_expenditur,Unmatched,13000,5746.42215,7253.57785,6848.68583,1.06
,ATT,13000,5155.76923,7844.23077,6080.95983,1.29
