lga_name,lga_code,mean,q50,q025,q975
Kudan,19016,224391.2703,223391,186610.95,267552.775
Gujba,707,240204.7553,239168.5,197211.525,290396.875
Nasarawa,26009,488629.2241,487982,411466.125,570194.475
Kurfi,422,207501.6711,206565.5,174790.625,245785.6
Akinyele,31002,394020.7448,387026.5,284124.775,547876.025
Nkanu East,14011,216492.831,213310,175930.375,275362.9
Egbeda,31005,449823.9937,443747.5,339711.075,594168.025
Guri,18005,140950.1207,140323,119216.45,166097.35
Kaura Namoda,808,367752.118,363410.5,274639.4,486268.25
Isoko South,10010,135688.3826,135108,115066.725,160020.4
Akoko-Edo,12001,164218.9765,161529.5,124946.725,219692.225
Owerri Municipal,17024,332145.5406,326415,272889.45,424460.4
Oturkpo,7019,434469.4745,434521,363139.95,504934.075
Dandi,508,242279.5844,241328.5,199943.7,290792.425
Mbatoli,17011,349583.0037,344302.5,288907.8,441894.75
Moro,24012,264516.7381,262745.5,218706.45,320013.975
Warri South,10024,254664.5177,253923.5,216536.15,297900.475
Taura,18002,176577.3131,175753.5,146728.7,211627.825
Kuje,15004,343366.4385,340495.5,270794.575,430365.25
Pategi,24016,143499.275,143328,120639.875,167961.325
Shendam,32016,690134.551,671142,439971.075,1059761.975
Akamkpa,9002,78105.6763,77783.5,65660,92805.475
Argungu,503,283520.4231,280074,209522.625,381102.3
Bende,1004,187591.4995,184866,154197.375,237344.1
Ivo,11009,154494.1588,151756.5,111073.2,213002.475
Tafawa-Balewa,5017,377921.4019,371358,271917.325,524036.525
Gubio,109,175010.8689,174577.5,135589.925,217689.05
Dange Shuni,603,484033.5617,482540.5,417749.725,557655
Katcha,27010,317881.4341,316784.5,257957.425,385143.15
Machina,711,179579.3691,176098,125645.6,257092.375
Ibeno,3008,50626.2838,50462.5,43004.725,59440.1
Kagarko,19011,406114.1977,400230,302971.475,539910.95
Alkaleri,5001,531600.4287,525343.5,378909.45,723549.25
Yola South,2021,439222.5259,436554,356142.825,537860.75
Ewekoro,28006,212655.4044,211521,182380.95,248644.175
Ezza North,11005,172057.086,170267,124578.625,231197.05
Onicha,11013,243816.7445,241860.5,187593.775,310155.55
Langtang South,32010,264354.4566,257823.5,165700.325,405170.175
Boki,9007,134522.1785,133789,113689.225,159254.5
Onuimo,17027,56052.5618,55220,44092.95,73081.4
Nassarawa,20037,943501.7359,927539.5,675488.025,1301339.425
Awka North,4005,106660.5655,104962.5,88295.7,135305.525
Nguru,713,231803.2146,226979,169073.9,321515.925
Bauchi,5002,1305305.481,1287539.5,960593.125,1748045.575
Ado,7001,143453.5123,142441.5,114606.2,178582.7
Kwami,16008,390640.2256,389034,320092.025,470027.075
Edu,24003,274077.7265,273920,229076.45,320524.05
Isokan,30022,106664.4768,106003,87640.4,129386.2
Mikang,32012,178439.3895,172572.5,107485.45,285437.275
Mopa-Muro,23013,46406.5475,46321.5,37940.8,55391.05
Atakunmosa East,30003,55481.1429,55319,46674.825,65431.1
Dass,5006,106543.1476,106055,87389.875,128366.175
Esit Eket,3004,39377.4227,39151,32854.95,47018
Bwari,15002,988710.5052,979601,794754.825,1226942.725
Atakunmosa West,30004,82349.2555,81957.5,69199.975,98169.55
Mokwa,27017,359773.1611,358922,303475.725,421412.95
Bade,701,237341.4295,233869,172483.45,321922.15
Garko,20006,222852.5972,219581,156493.225,307126.35
Keffi,26006,297655.028,297566.5,240252.725,357964.65
Kauru,19014,416851.0703,411359.5,310282.075,556956.475
Tambuwal,618,405957.1378,404374,347475.725,473401.2
Irele,29012,100889.8358,100553.5,85558,118603.15
Gashaka,35004,184377.5904,184537.5,153261.85,215296.575
Oru East,17022,210280.7511,207161.5,172369.875,265774.75
Akwanga,26001,242562.0927,242498.5,203741.725,281501.1
Jos East,32004,88662.0745,86367,58176.975,132669.675
Ijebu Ode,28011,234049.9335,232524.5,189353.675,288347.55
Ilorin South,24007,665960.0743,665999.5,507724.95,828636.275
Maradun,809,262849.2665,261829,215889.075,317437.575
Dandume,407,261563.7162,260485.5,222644.125,306571.125
Mashi,427,323552.0104,321398,267827.625,389032.2
Udu,10018,238523.9388,237477.5,201069.925,283268.125
Ogo Oluwa,31023,80199.1312,78778.5,58824.775,109414.075
Gwoza,111,238403.4414,238661.5,199262.65,277133.075
Odukpani,9015,136255.5483,135692.5,115995.975,159986.75
Jakusko,709,268151.147,264493.5,191039.85,368993.325
Ajeromi/Ifelodun,25002,215737.8087,211656,158693.2,296174.35
Bindawa,405,237761.626,236605.5,201074.925,280236.325
Lagos Island,25020,73584.801,72747.5,56621.875,95494
Hawul,112,315942.3984,316603.5,261507.55,368354.15
Boripe,30006,180419.2421,179217,144864.925,223359.875
Wudil,20027,278914.1272,276474.5,206710.625,367704.05
Ise/Orun,13014,49308.3747,49039,41884.75,58195.225
Kura,20035,247845.6722,246513,205685.7,297552.425
Sabon Birni,613,426468.9007,424325,361225.6,501983.8
Hadejia,18011,124822.4995,123623.5,95106.35,161476.7
Ijero,13009,89141.0573,88602.5,73923.275,107223.35
Nnewi South,4015,359692.3014,354284.5,297055.9,454397.4
Ibarapa East,31012,103492.7623,102088.5,78958.625,134435.9
Afijio,31001,111023.4768,109681.5,85134.375,144005.95
Vandeikya,7023,401062.0478,396349,304405.225,526167.225
Lokoja,23012,335555.5574,335130,275022.8,397919.175
Bukkuyum,804,328301.6901,323655,231877.025,449399.4
Darazo,5005,437120.9849,435047,357010.875,529207.475
Ebonyi,11004,297176.7085,294344,234077.575,378102.1
Ogun Waterside,28018,61744.274,61519.5,52546.975,72497.625
Illela,608,420087.6949,419045.5,354794.125,495689.8
Odogbolu,28017,157496.9248,156547.5,128767.45,192208.675
Aboh-Mbaise,17001,298363.3245,293698,245108.925,377839.15
Toungo,2019,113523.7266,112741,93337.375,137393.7
Abadam,101,118504.4966,118460.5,96176.2,140768.925
Ilesha West,30019,289507.3709,287527,235182.875,355633.25
Bursari,702,223590.3466,221790.5,166657.3,290694.125
Balanga,16002,299104.6945,299114.5,250201.5,348050
Orhionmwon,12013,136356.2905,134657,99321.05,183147.25
Etche,33011,370392.2261,368768,317355.65,433027.65
Goronyo,605,287676.5195,286779,244890.55,336945.55
Kirfi,5013,256315.3759,252437,179460.9,351700.225
Oyigbo,33021,270628.9088,269475,224343.8,326150.2
Atiba,31003,118127.1323,115852,84426.55,165270.975
Maiduguri,124,846657.0591,849019,665996.975,1011211.7
Kajuru,19012,224064.4858,222721.5,182424.875,272825.6
Boluwaduro,30005,43101.1153,42867,35549.75,52262.425
Kontagora,27011,415094.8019,413653.5,346922.85,490441.675
Bayo,104,195581.6641,195300.5,161602.825,231089.275
Orelope,31027,81076.0827,80655,68326.825,96543.175
Malam Madori,18017,210472.7736,209688,182167.45,242843.25
Ijumu,23009,115078.7739,114856,94025.625,136766.65
Owo,29018,234766.5968,233368.5,200004.5,277537.675
Ahiazu-Mbaise,17002,201821.9097,198915.5,164997.35,255452.3
Awgu,14002,213398.9429,210726,177912.25,264340.5
Kunchi,20042,220283.8613,214947,143777.075,330239.675
Anaocha,4004,292234.3151,287584,242482.9,370782.675
Oke Ero,24014,47114.9262,47024,37509.95,57202.225
Kaduna South,19010,458017.3234,450780.5,332650.775,629154.75
Ihitte/Uboma,17007,87923.2659,86758.5,71220.95,111880.775
Makurdi,7013,909081.6996,909280,752487.425,1066501
Ethiope West,10006,148395.7473,147777.5,125285.625,175235.25
Doguwa,20020,333952.8999,332730,277547.125,397631.275
Akure South,29006,399355.2836,396482,329774.875,484392.025
Ila,30017,90394.8536,89892,75622.55,108139.35
Sandamu,433,113231.305,112644,94181.725,135251.125
Ganjuwa,5008,843196.467,826451,579270.025,1209270.4
Isu,17010,128875.1942,126914.5,106038.35,163303.525
Udenu,14015,340174.388,335754,286544.35,419473.975
Gusau,807,827941.5992,797674.5,541711.925,1276679.8
Kokona,26007,220053.2731,219318.5,185231.8,258776.525
Isiala-Ngwa North,1006,205394.0905,202305,164065.5,265278.05
Kwaya Kusar,118,160284.3654,160275,133536.9,187628.25
Yankwashi,18019,73797.083,73383.5,60704.875,89037.025
Garki,18024,242808.7425,241156.5,200470.925,291877.525
Kiru,20034,464792.7796,457650,344651.5,629459.25
Ndokwa East,10011,101838.7496,101286.5,87829.95,119034.975
Langtang North,32009,421185.8796,409687,264486.925,647347.1
Municipal Area Council,15006,2228336.295,2220325.5,1903808.775,2591509.9
Ibeju Lekki,25009,456509.1906,451844,361496.65,578762.3
Umuahia North,1016,276146.839,272058,231818.925,344131.45
Yabo,623,199744.4518,199072.5,170507.975,233104.3
Agaie,27001,230485.2877,229941,193096.9,271621.45
Yunusari,716,300865.197,295291,213914.225,419102
Daura,410,205863.8089,204610,166730.3,251922.725
Maru,810,565196.1876,562793,457378.6,689170.8
Bomadi,10003,32604.4158,32464,27605.925,38545.15
Ndokwa West,10012,196413.0493,195337.5,164445.35,234478.975
Gbako,27008,255127.2851,253345,202216.125,316181.775
Tangaza,619,254348.4964,253550,217474.7,296408.625
Rogo,20032,507938.4711,501094.5,359618.925,694419.825
Lavun,27013,356950.2204,355711,298353.8,422128.325
Ola Oluwa,30026,47252.8415,47039.5,40113.975,55728.1
Makoda,20039,188880.2074,185733.5,128156.225,266899.425
Wamba,26013,120354.5275,120029.5,100121.6,141764.5
Abakaliki,11001,272482.9081,271170,230960.525,319983.5
Maigatari,18023,169201.5617,168516.5,143499.35,199277.475
Njikoka,4013,131976.6442,129120,105666.9,176526.475
Soba,19021,564983.1022,559499,436823.575,723755.975
Gwer West,7008,184562.0476,183544.5,144572.8,230073.675
Demsa,2001,187880.1883,184768,135233.9,257828.75
Guma,7006,409362.7286,405844,308551.425,531547.425
Nkwerre,17014,88943.7391,87679,73209.55,112752.05
Askira Uba,102,316551.7962,316676,264417.75,369674.775
Aba North,1001,278613.53,274275,229830.775,352227.325
Dukku,16004,339014.3977,338390,279311.7,402614.025
Saki West,31032,339731.5487,336014,261784.125,437629.95
Tureta,620,127597.5001,126852,105290.725,153695.3
Afikpo South,11003,92131.0979,90821,68927.8,122960
Akoko South West,29004,147477.39,146656,122791.825,177349.05
Lere,19017,651109.1893,646130,515249.95,810161.65
Mashegu,27016,848348.8861,843883,679930.325,1042838.575
Nsukka,14013,481678.8117,475127.5,409051.3,593256.075
Kafin Hausa,18027,311498.0716,310131.5,263941.3,366673.4
Toro,5018,714890.3289,712325.5,593288.075,849075.325
Ukum,7021,919975.8273,912610,702474.45,1176793.5
Donga,35003,357250.6691,358130.5,293444.725,418347.25
Ibarapa Central,31011,81877.5806,80746.5,61184.675,109557.125
Lapai,27012,379888.6861,378460,319638.6,448789.825
Ijebu East,28008,196634.9447,195956,163441.775,234043.175
Awka South,4006,415812.0624,407234,334429.175,550791.65
Sardauna,35011,537514.582,536626,447431.775,632072.45
Itesiwaju,31017,129917.6439,128020,97261.625,173209.375
Ogoja,9016,167262.6014,166385.5,143889.75,195287.175
Isa,609,212833.6045,211791.5,180544.55,250817.275
Shiroro,27022,599713.7296,595993,478733.125,743650.025
Batagarawa,402,307413.279,306089.5,262237.6,358957.175
Okobo,3023,44200.8723,43213,29542.8,65293.225
Malumfashi,425,469105.7242,466926.5,389083.55,561054.5
Ika,3011,47322.8553,47090,38631,57463
Jibia,416,343486.0497,342215,293965.5,400070.725
Owan West,12017,77746.4464,76940.5,57733.175,103368.15
Ikorodu,25012,1248279.662,1239594.5,975433.525,1570774.65
Akuku Toru,33004,39597.9285,39391,33350.95,46955.7
Ohimini,7016,125259.0509,125208,98321.55,153534.275
Oredo,12012,371197.581,369133.5,303766.575,448266.525
Epe,25007,240110.2648,238461,195142.775,294842.85
Anka,801,188572.0974,186092,132234.275,258883.775
Dawakin Kudu,20022,482492.7256,480061,407305.575,568340.025
Ogu Bolo,33017,38138.6404,37966.5,31041.85,46240.3
Olamaboro,23018,323752.7085,323433.5,262905.8,386680.8
Ankpa,23003,448255.6525,448397,360095.175,539117.375
Umuahia South,1017,196713.3197,193006.5,163411.75,252098.625
Shanga,517,291719.6285,286609.5,206215.1,409763.3
Jaba,19006,116805.019,116082.5,94408.375,143833.775
Ikole,13011,92580.5971,92120,77651.5,110307.475
Eti Osa,25008,825091.6735,819991.5,626762.1,1053392.075
Ese Odo,29007,40656.9701,40432.5,34658.85,47933.05
Garun Malam,20003,179011.7635,178157,149595.35,212663.9
Doma,26003,226477.4365,225923.5,190176.275,265789.125
Albasu,20009,323025.1613,315851,214646.25,469850.375
Ibesikpo Asutan,3009,130627.5214,129037,100824.825,169923.575
Gassol,35005,672735.2655,672882.5,562250.95,785914.325
Ife North,30013,139967.5145,139325.5,115136.9,168812.275
Oyo West,31030,294420.4278,291212.5,227238.925,377121.95
Rijau,27021,453084.4853,447320.5,344443.425,594967.825
Irepo,31015,119336.2976,117401,88859.925,161234.35
Ojo,25015,729256.5545,714913.5,504462.35,1043173.875
Silame,615,144705.5886,144284.5,122625.625,169609.525
Fufore,2002,460863.9735,457141,343785.7,604427.85
Dutsi,411,134070.026,133173,110548.7,162238.75
Kaura,19013,180235.786,178049.5,135217.975,238833.45
Dambatta,20023,456214.9896,449367.5,309613,642296.975
Sokoto North,616,335431.1817,333988,274804.775,405449.975
Yagba West,23021,53538.0073,53506,43747.775,63792.25
Awe,26002,279130.6052,276643.5,217576.725,356669.85
Tofa,20015,195611.8188,193317.5,136711.75,268654.05
Yamaltu/Deba,16011,571264.4648,569453.5,471590.525,682629.025
Suleja,27023,272858.1885,272357.5,216532.225,333982.3
Kubau,19015,646887.8933,642096,495027.5,833204.35
Ahoada East,33002,163468.7546,162855.5,140843.725,189970.3
Badagry,25006,580558.3393,574867,455800.175,738584.125
Gombe,16006,473607.2928,470576,369783.1,594449.4
Obio/Akpor,33015,1679902.896,1672194,1394319.6,2018350.925
Jema'A,19007,332830.3676,330786,255071.075,424681.825
Maiha,2011,181605.6591,178251.5,126483.5,255440.075
Munya,27018,315488.5078,312900,247718.15,397756.975
Lau,35010,184118.38,184193,151979.95,215640.125
Ihiala,4012,465783.557,458577,385919.95,591026.85
Ukwa East,1013,57628.1556,56851.5,47288.85,72721.05
Mani,426,305630.4779,304337,258067.8,360086.25
Anambra West,4003,44910.437,43973,37606.85,57745.475
Iseyin,31016,292454.8123,289266,227546.9,374318.5
Nkanu West,14012,153689.3197,151775,123806.525,195161.9
Ahoada West,33003,49013.6772,48812.5,41951.875,57287.25
Gbonyin,13007,54654.0662,54397,46424.8,64463.675
Okpokwu,7018,208786.9623,208566.5,172604.55,246309.1
Odo Otin,30025,127823.9383,127010.5,106483.6,154384.85
Ovia South-West,12015,167529.7984,165043.5,125561.3,221542.925
Rimi,430,275675.1149,274337,231540.8,328863.175
Ikeduru,17008,233521.4033,230156,188739.85,297308.15
Etsako Central,12007,72602.7998,71231,51564.975,100903.225
Ugwunagbo,1012,79322.2187,78096,64716.575,100764.35
Kafur,417,412990.0259,410890,343727.55,495256.95
Omumma,33019,71602.0016,70946,59583,87358
Arochukwu,1003,131402.6729,129528,108076.575,166191.075
Akoko North West,29002,107045.9669,106396,89803.75,127847.15
Birnin Magaji-Kiyaw,803,211004.8468,207229.5,147765.675,293932.65
Ile Oluji/Okeigbo,29011,317883.2845,316273.5,267262.05,378043.4
Mkpat Enin,3018,118289.7311,116053,85112.975,164089.85
Bida,27003,396508.9337,395160,328090.95,472531.95
Funtua,414,426043.1777,423913,353512.575,512036.3
Karaye,20041,286990.8838,281694.5,201788.325,402269.325
Warji,5019,171938.5953,169164.5,119630.925,239306.15
Ibadan North,31006,226845.0788,225885.5,180194.55,279569.675
Ekeremor,6002,96107.9214,94872.5,73999.425,124624.375
Afikpo North,11002,176384.5055,174293,131904.8,231311.7
Abaji,15001,177069.2484,174337.5,131709.425,237255.075
Southern Ijaw,6007,133915.4566,132536.5,105662.3,170983.025
Fakai,509,203837.139,202572,161819,252982.65
Gumel,18006,112548.5858,112244,95984.5,131352.675
Jahun,18026,305288.5155,304134,258802.95,358538.375
Billiri,16003,214504.3966,214962.5,176806.675,250368.05
Ehime-Mbano,17003,216150.5239,213510.5,174270.8,274489.375
Lagelu,31020,503977.2489,498105,381050.9,661892.4
Egor,12002,454045.8184,444788.5,330166.85,625363.975
Dala,20024,458992.0208,452287.5,345478.75,608512.1
Michika,2013,221701.4392,220944,190144.5,257761.95
Egbedore,30009,281181.4302,279173.5,230515.55,343388.875
Ikot Abasi,3013,97201.1186,95993,70939.725,130508.6
Ekiti South-West,13004,78308.8491,77953.5,63958.825,95424.35
Igbo-Eze North,14008,336826.3514,332288,277541.5,422419.625
Gulani,708,293226.2689,288839.5,202608.8,414963.425
Fune,705,521909.854,514425,373438.825,711517.025
Ibiono Ibom,3010,116538.2432,114148.5,82537.525,164128.525
