Variables,Acronyms,Measurement
Gross Domestic Product,GDP,
Manufacturing Export,MNEXP,
Solid Mineral Export,SMEXP,
Raw Material Export,RMEXP,
Agricultural Export,AGEXP,
Trade Openness,TOP,
Real Effective Exchange Rate,REXR,
