,10%,,5%,,1%,,p-value,
,I(0),I(1),I(0),I(1),I(0),I(1) ,I(0),I(1)
F,4.158,5.01,5.195,6.166,7.671,8.896,0.002,0.005
T,-2.57,-2.934,-2.909,-3.929,-3.596,-4.01,0.001,0.004
Decision,.r,,.r,,.r,,,
