Bound Test Result,10%,,5%,,1%,,p-value,
,I(0),I(1),I(0),I(1),I(0),I(1) ,I(0),I(1)
F,3.295,4.435,4.076,5.381,5.948,7.628,0.009,0.03
T,-2.538,-3.206,-2.891,-3.596,-3.611,-4.383,0.003,0.016
Decision,.r,,.r,,.,,,
