,2008,,2013,
Category ,Frequency ,Percentage ,Frequency ,Percentage
Knows no method,7074,41,4013,14.4
Knows only folkloric,237,1.4,230,0.8
Knows only trad. Mth,73,0.4,160,0.6
Knows modern method,9855,57.2,23542,84.2
Total,17239,100,27945,100
