,2008,,2013,
Category ,Frequency ,Percentage,Frequency ,Percentage 
North Central,3290,19.1,4297,15.4
North East,3936,22.8,5278,18.9
North West,5200,30.2,8245,29.5
South East,1294,7.5,2581,9.2
South South,2043,11.9,3574,12.8
South West,1476,8.6,3970,14.2
Total,17239,100,27945,100
