Variables,ADF Test,,,Phillip-Perron Test,,
,Level,First Diff,Remark,Level,First Diff,Remark
LNGDP,-6.930***,-8.524***,I(0),-3.453***,-4.882***,I(0)
LNMNEXP,-1.81,-4.211***,I(1),-2.506,-8.284***,I(1)
LNAGEXP,-2.169,-6.016***,I(1),-2.164,-6.625***,I(1)
LNSMEXP,-2.382,-2.535,I(1),-2.217,-4.196***,I(1)
LNRMEXP,-1.11,-4.038***,I(1),-0.543,-5.338***,I(1)
LNTOP,-1.813,-2.972*,I(1),-2.455,-5.538***,I(1)
LNREXR,-1.855,-6.623***,I(1),-1.927,-4.638***,I(1)
